#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
EVTOPTA_CM_6102;I'd better check under my bed again.;Je ferais mieux de vérifier encore une fois sous mon lit.;Ich sollte doch noch mal mein  Bett überprüfen.;;Lo volveré a consultar con la almohada.;;;;;;;;;x
EVTDESC_CM_6104;Hiding from your enemies, you gain little opportunity for spending time with others. Also, there is little opportunity for 'spending time' with others. You find, however, that you are getting used to it. Indeed, the absence of distraction makes you feel strangely focused and more at ease with yourself.;À l'abri de vos ennemis, vous avez peu l'opportunité de passer du temps avec d'autres personnes, du sexe opposé, notamment. Vous commencez néanmoins à vous habituer à la solitude. En effet, en l'absence de pensées charnelles, vous retrouvez une certaine pureté et une aisance avec vous-même.;Wer sich vor seinen Feinden verstecken muss, hat kaum Gelegenheit, mit Freunden zusammen zu sein. Dazu gibt es ja auch keine Gelegenheit. Ihr stellt jedoch fest, dass Ihr Euch allmählich daran gewöhnt. Tatsächlich fühlt Ihr Euch durch das Fehlen fleischlicher Gelüste auf besondere Weise rein und mehr mit Euch selbst im Reinen.;;Escondiéndote de tus enemigos, tienes pocas oportunidades de relacionarte con los demás. También tienes pocas oportunidades de “relacionarte” con otras personas. No obstante, encuentras que te estás acostumbrando a ello. Efectivamente, la ausencia de pensamientos carnales te hace sentir extrañamente puro y más a gusto contigo mismo.;;;;;;;;;x
EVTOPTA_CM_6104;It's much better like this.;C'est mieux ainsi.;So ist es viel besser.;;Así está mucho mejor;;;;;;;;;x
EVTDESC_CM_6105;[From.GetFirstName] has been hiding from [From.GetHerHis] enemies for some time now, living in relative isolation. The experience seems to have changed [From.GetHerHim]. You find that [From.GetSheHe] no longer shows a romantic interest in you the same way that [From.GetSheHe] used to.;[From.GetFirstName] se cache de ses ennemis depuis quelque temps maintenant, vivant dans une certaine solitude. L'expérience semble l'affecter. D'ailleurs, vous avez le sentiment qu'[From.GetSheHe] ne vous porte plus le même intérêt qu'autrefois.;[From.GetFirstName] versteckt sich nun seit geraumer Zeit vor [From.GetHerHis] Feinden und lebt in relativer Isolation. Diese Erfahrung scheint [From.GetHerHim] verändert zu haben. Ihr stellt fest, dass[From.GetSheHe] nicht mehr körperlich an Euch interessiert ist wie ehedem. ;;[From.GetFirstName] se ha estado escondiendo de [From.GetHerHis] enemigos por un tiempo, viviendo en un relativo aislamiento. La experiencia parece haber [From.GetHerHim] cambiado. Te das cuenta de que [From.GetSheHe] ya no siente el interés físico por ti que antes solía mostrar.;;;;;;;;;x
EVTOPTA_CM_6105;Well, this is discouraging...;Rien n'est plus redoutable qu'un amour bafoué…;Die Hölle hat keine Wut...;;El infierno ya no arde...;;;;;;;;;x
EVTOPTB_CM_6105;Finally [From.GetSheHe] will leave me alone!;Enfin, [From.GetSheHe] va me laisser en paix !;Endlich lässt [From.GetSheHe] mich in Ruhe!;;¡Finalmente [From.GetSheHe] me dejará tranquilo/a!;;;;;;;;;x
EVTDESC_CM_6106;Living your life in hiding, you have much time to reflect on your situation. Sometimes there is fear, sometimes there is doubt. As the long hours pass at night, you find yourself increasingly taking comfort in meditation. With time, the hope that the Powers will protect you strengthens and becomes certainty.;L'isolement vous laisse le temps de réfléchir à votre situation. Parfois vous avez peur, parfois vous doutez. Tandis que les longues heures de la nuit s'égrènent, vous trouvez un certain réconfort dans vos songes spirituels. Avec le temps, l'espoir que [Root.Religion.GetRandomGodName] vous protègera se renforce et devient une certitude.;Wer im Versteck lebt hat viel Zeit, über die eigene Situation nachzudenken. Manchmal kommen Ängste, dann wieder Zweifel. In den langen schlaflosen Stunden der Nacht hat man reichlich Zeit, über religöse Fragen nachzugrübeln. Mit der Zeit wird die Hoffnung, dass [Root.Religion.GetRandomGodName] Euch beschützt zur Gewissheit.;;Viviendo tu vida en la clandestinidad, tienes mucho más tiempo para reflexionar sobre tu situación. Algunas veces con miedo, otras con dudas. En el transcurso de las largas horas de la noche, te descubres a ti mismo encontrándote cada vez más a gusto en la meditación religiosa. Con el tiempo, la esperanza de que [Root.Religion.GetRandomGodName] te protegerá se hace cada vez más fuerte y se convierte en certeza.;;;;;;;;;x
EVTOPTA_CM_6106;[Root.Religion.GetScriptureName] holds the answers.;[Root.Religion.GetScriptureName] détient toutes les réponses.;[Root.Religion.GetScriptureName] hat die Antworten.;;[Root.Religion.GetScriptureName] tiene las respuestas.;;;;;;;;;x
EVTDESC_CM_6108;It is hard to stay in hiding for so many hours of the day, being physically inactive and unable to walk in the light of the sun whenever you wish. Though you are more secure like this, you wish you were not forced to sit here like some rat. Yes... you do feel like a wretched rat...;Le jour, votre isolement est plus dur à supporter. L'inactivité et le manque de lumière vous rongent. Même si vous savez que c'est pour votre sécurité, vous voudriez ne plus tourner en rond comme un lion en cage… Même si vous vous sentez plus rat que lion, actuellement...;So viele Stunden am Tag im Versteck zu verharren, inaktiv sein zu müssen und nicht an die Sonne gehen zu dürfen, wann immer man will, ist hart. So seid Ihr zwar sicherer, doch Ihr wollt nicht gezwungen sein, wie eine Ratte in einem Loch zu sitzen. Ja, Ihr fühlt Euch wie eine armselige Ratte...;;Es duro estar oculto tantas horas al día, estando físicamente inactivo y sin poder caminar bajo la luz del sol cuando uno lo desea. Aunque aquí estés más seguro, desearías que no te hubieran impuesto encerrarte como si de una rata se tratara. Sí... te sientes como una miserable rata...;;;;;;;;;x
EVTOPTA_CM_6108;Unhappy times.;Des jours bien tristes.;Unglückliche Zeiten.;;Días de desdicha.;;;;;;;;;x
EVTDESC_CM_6110;You have been spending too much time hiding in dusty, cold cellars and not getting enough fresh air. It is said that the stale air of closed rooms is unhealthy if too much time is spent there. Indeed, you aren't feeling all that well right now...;Vous avez passé trop de temps à vous cacher dans des cellules froides et crasseuses, loin de l'air frais. Il paraît que l'air confiné des pièces closes peut devenir malsain, à la longue. Il est vrai que vous ne vous sentez pas très bien…;Schon viel zu lange versteckt Ihr Euch in staubigen, kalten Kellern und bekommt zu wenig frische Luft. Man sagt, dass die abgestandene Luft geschlossener Räume auf Dauer der Gesundheit schadet. Und tatsächlich fühlt Ihr Euch gerade nicht besonders wohl...;;Has estado demasiado tiempo escondiéndote en frías y polvorientas bodegas y sin tener suficiente aire fresco. Se dice que el aire viciado de las habitaciones cerradas resulta insalubre si se pasa demasiado tiempo en él. Efectivamente, tú no te sientes demasiado bien últimamente...;;;;;;;;;x
EVTOPTA_CM_6110;Cough.;*tousse, tousse*;Hust.;;Tos.;;;;;;;;;x
EVTDESC_CM_6112;It's very boring to sit in hiding. The hours are long, and not many pleasures are available. Luckily, there's always the joy of a good strong meal.;Rester assis toute la journée, quel ennui ! Les heures passent lentement et vous n'avez aucune distraction. Heureusement, vous avez toujours la satisfaction d'un repas bien copieux !;Im Versteck zu sitzen ist langweilig. Die Stunden werden immer länger, und Vergnügen gibt es kaum. Zum Glück bleibt immer die Freude an einer kräftigen Mahlzeit.;;Es muy aburrido estar en la clandestinidad. Las horas no pasan, y no hay muchos placeres a tu disposición. Afortunadamente, siempre te quedará el gozo de una buena y abundante comida.;;;;;;;;;x
EVTOPTA_CM_6112;Bring in more food!;Qu'on m'apporte à manger !;Bringt mir mehr zu essen!;;¡Traed más comida!;;;;;;;;;;;
EVTDESC_CM_6114;Hiding from your enemies, you spend a lot of time just sitting around. As time passes, you feel yourself getting used to it. You find you don't have the energy for doing much work, but there's also no urgency, really.;Alors que vous vous cachez de vos ennemis, vous passez le plus clair de votre temps à attendre. Au fur et à mesure que les jours s'écoulent, vous semblez vous habituer à la situation. Vous perdez de vos forces mais de toute façon, il n'y a pas grand-chose à faire, alors...;Wer sich vor den Feinden versteckt, sitzt die meiste Zeit nur herum. Mit der Zeit gewöhnt man sich daran. Ihr habt nicht viel Energie zum Arbeiten, aber es liegt ja auch nichts Dringendes an.;;Escondiéndote de tus enemigos, te pasas mucho tiempo sentado por ahí. A medida que el tiempo pasa, te vas acostumbrando a ello. Sientes que no tienes energía para hacer demasiado trabajo, pero en realidad tampoco hay ninguna urgencia.;;;;;;;;;x
EVTOPTA_CM_6114;Oh, how I wish I were lying down...;Comme j'aimerais faire une petite sieste !;Ach, könnte ich mich nur hinlegen...;;Oh, me encantaría echarme un rato...;;;;;;;;;x
EVTDESC_CM_6116;Life in hiding is not like normal life. You see very few people, everyone else is busy and it seems they have no time to come and see you. As time passes, you find that you start to get annoyed at the few visitors you do get. You just don't know what to say to people anymore.;La vie en cachette n'a rien d'agréable. La solitude y tient une grande place car pour les autres, la vie continue et les activités du quotidien les empêchent de venir vous voir souvent. Plus le temps passe, moins vous supportez les rares visiteurs qui viennent vous saluer. Vous n'avez pas grand-chose à leur dire.;Das Leben Im Versteck ist kein normales Leben. Ihr seht kaum Menschen, alle sind beschäftigt und haben scheinbar keine Zeit, um Euch zu besuchen. Mit der Zeit fangt Ihr an, Euch über die wenigen Leute zu ärgern, die Euch doch noch besuchen. Ihr wisst einfach nicht mehr, was Ihr Ihnen sagen sollt.;;La vida en la clandestinidad no es como la vida normal. Todo el mundo anda atareado y parece que no tengan tiempo para venir a verte. A medida que pasa el tiempo, te das cuenta de que empiezas a estar malhumorado con los pocos visitantes que tienes. Ya ni siquiera sabes qué decir a la gente.;;;;;;;;;x
EVTOPTA_CM_6116;I wish they'd leave me alone.;Qu'on me laisse tranquille !;Sie sollen mich doch in Ruhe lassen.;;Desearía que me dejaran a solas.;;;;;;;;;x
EVTDESC_CM_6118;Life in hiding suits you, you feel much safer now than you have felt in years. It's always better to be safe than to be sorry. Or dead, surely. You're glad that you're getting this opportunity to reflect upon all the mistakes you've made in your life. You've been taking too many risks, but you will not be so foolish again.;La vie en cachette vous sied plutôt bien, vous n'avez jamais ressenti un tel sentiment de sécurité. Mieux vaut prévenir que guérir, ou pire, mourir ! Vous profitez de l'occasion pour réfléchir à vos erreurs passées. Vous savez que vous avez pris beaucoup de risques et vous faites la promesse de ne plus jamais recommencer.;Das Leben im Versteck bekommt Euch, Ihr fühlt Euch jetzt so sicher wie seit Jahren nicht mehr. Besser in Sicherheit zu sein als betrübt. Oder gar tot. Ihr freut Euch, dass Ihr die Zeit habt, über alle Fehler nachzudenken, die Ihr im Leben gemacht habt. Ihr habt zu viel riskiert, doch so leichtfertig werdet Ihr nie wieder sein. ;;Estás a gusto con la vida en la clandestinidad, te sientes seguro como hacía años que no te sentías. Siempre es mejor estar a salvo que tener que lamentarse. O muerto, sin duda. Te alegras de tener esta oportunidad para reflexionar sobre todos tus errores. Has asumido demasiados riesgos, pero a partir de ahora no volverás a ser tan bobo.;;;;;;;;;x
EVTOPTA_CM_6118;There's no such thing as excessive caution.;Faire preuve d'une extrême prudence, tel est votre nouveau leitmotiv.;Es geht nichts über größte Vorsicht.;;Toda precaución es poca;;;;;;;;;x
EVTDESC_CM_6120;When people are out to kill you, and you sacrifice daily pleasures and companionship in order to hide from them, you do come to appreciate the little things in life and how much joy they can really bring you. Reflecting on this is making you see a new perspective, and suddenly the bigger issues seem less... big.;Alors que des hommes cherchent à vous tuer et que vous vous cachez, abandonnant les plaisirs de la vie et la compagnie de vos proches, vous commencez à apprécier les choses les plus simples et la joie qu'elles vous procurent. Vous envisagez la vie sous un nouvel angle et soudain, vos problèmes semblent dérisoires...;Wenn Leute Euch umbringen wollen und Ihr auf Vergnügen und Zweisamkeit verzichtet, um vor ihnen sicher zu sein, dann lernt Ihr die kleinen Dinge des Lebens zu schätzen und wie viel Freude sie Euch bringen können. Das Nachdenken darüber verschafft Euch eine neue Perspektive, und auf einmal sehen die großen Probleme... nicht mehr ganz so groß aus.;;Cuando estás fuera del punto de mira de la gente y sacrificas la compañía y los placeres cotidianos para ocultarte del mundo, es cuando realmente aprecias las pequeñas cosas de la vida y cuánta alegría pueden darte. Estas reflexiones te están dando una nueva perspectiva y de repente los grandes asuntos parecen menos... importantes.;;;;;;;;;x
EVTOPTA_CM_6120;One cannot be first in everything.;On ne peut pas tout avoir, dans la vie.;Man kann nicht überall und immer der Erste sein.;;Nadie puede ser el mejor en todo.;;;;;;;;;x
EVTDESC_CM_6122;Life in hiding is very limiting. You miss things like being outside, seeing people, enjoying good food and drink, games, merriment and companionship. When this trying time is over, you vow to compensate by living life to the fullest.;La vie en cachette a ses limites. L'air pur vous manque, ainsi que vos proches, les bons repas bien arrosés, les jeux et les rires. Lorsque cette période transitoire sera terminée, vous comptez rattraper le temps perdu et profiter pleinement de ce que la vie a à vous offrir.;Das Leben im Versteck engt sehr ein. Ihr vermisst Dinge wie draußen Leute zu treffen, gutes Essen und Getränke, Spiele, Vegnügen und Gemeinschaft zu genießen. Ihr schwört Euch, das Leben in vollen Zügen zu genießen, wenn diese schwere Zeit erst vorüber ist.;;La vida en la clandestinidad es muy limitada. Echas de menos cosas como salir fuera, ver gente, deleitarte con una buena comida y bebida, los juegos, la alegría y la compañía. Te prometes compensarlo y, cuando superes esta prueba, vivirás la vida plenamente.;;;;;;;;;x
EVTOPTA_CM_6122;Perhaps I'll even overcompensate!;Je n'aurai plus aucune limite !;Vielleicht übertreibe ich es sogar!;;¡Hasta puede que lo compense en exceso!;;;;;;;;;x
EVTDESC_CM_6124;Spending your time hidden away from your enemies, you don't get much outdoors time, nor do you see many people. You have taken to making the time pass by reading. You did not expect, however, that such a wonderful new world would open up to you through these books...;Alors que vous vous cachez de vos ennemis, vous ne sortez quasiment plus à l'air libre et ne voyez presque plus personne. Votre seul passe-temps est la lecture. Cependant, vous étiez loin d'imaginer que de simples livres vous permettraient de voyager vers un univers merveilleux et inconnu.;Da Ihr Eure Zeit versteckt vor Euren Feinden verbringt, kommt Ihr kaum noch ins Freie, seht kaum noch Menschen. Ihr verbringt Eure Zeit mit Lesen. Ihr staunt darüber, welch wunderbare Welt sich Euch in diesen Büchern eröffnet…;;Pasando el tiempo escondido de tus enemigos, no tienes mucho tiempo para estar en el exterior, ni ves a demasiada gente. Matas el tiempo leyendo. Sin embargo, no esperabas que un mundo tan maravilloso se te pudiera abrir a través de estos libros...;;;;;;;;;x
EVTOPTA_CM_6124;Learning never exhausts the mind.;La lecture est un bienfait pour l'esprit.;Lernen macht den Geist niemals müde.;;La mente nunca se cansa de aprender;;;;;;;;;x
EVTDESC_CM_6126;Trying to occupy your mind while hiding from enemy plotters, you have been reading some interesting new books that a friend acquired for you from a foreign bookmerchant. You study the books late into the night, fascinated with the strange mysteries that they describe. You start to think that maybe you could expand on these ideas yourself...;Alors que vous vous cachez des conspirateurs, vous vous plongez dans des livres passionnants achetés par l'un de vos amis à un marchand étranger. Vous lisez jusque tard dans la nuit, vous laissant emporter par les mystères que renferment ces ouvrages. D'ailleurs, cette activité fait travailler votre imagination et vous envisagez d'ajouter une nouvelle corde à votre arc...;Um Euren Geist im Versteck von den Feinden abzulenken, die Euch nach dem Leben trachten, habt Ihr interessante neue Bücher gelesen, die ein Freund Euch aus dem Ausland mitgebracht hat. Ihr lest bis spät in die Nacht, fasziniert von den seltsamen Mysterien, die sie beschreiben. Langsam überlegt Ihr, ob Ihr auf diesen Ideen nicht aufbauen könntet...  ;;Tratando de ocupar la mente mientras te escondes de tus enemigos conspiradores, has estado leyendo algunos nuevos e interesantes libros que un amigo adquirió para ti de un comerciante extranjero. Estudias los libros entrada la noche, fascinado con los extraños misterios que describen. Empiezas a pensar que tal vez tú mismo podrías desarrollar estas ideas...;;;;;;;;;x
EVTOPTA_CM_6126;Fetch me quill and parchment!;Qu'on m'apporte une plume et un parchemin !;Bringt mir Feder und Pergament!;;¡Traedme una pluma y un pergamino!;;;;;;;;;x
EVTDESC_CM_6128;Spending time in hiding, you find it hard to sleep at night. Your mind wanders, you feel restless. Someone once said that the restless soul needs to express itself, or it shall wilt and die. Perhaps you should pick up quill and parchment and write something?.;Bien qu'à l'abri de vos ennemis, vous peinez à trouver le sommeil. Votre esprit vagabonde et l'agitation s'empare de vous. Un jour, quelqu'un a dit qu'un esprit tourmenté a besoin de s'exprimer, faute de quoi il se flétrit et meurt. Vous devriez peut-être vous emparer d'une plume et d'un parchemin pour écrire ce que vous avez sur le coeur ?;Wer im  Versteck lebt, findet nachts nur schwer in den Schlaf. Die Gedanken wandern, Ihr seid unruhig. Jemand hat mal gesagt, dass die unruhige Seele sich ausdrücken muss, um nicht dahinzuwelken und zu sterben. Vielleicht solltet Ihr zu Feder und Pergament greifen und etwas schreiben?;;Pasando el rato en la clandestinidad, no te es fácil dormir por las noches. Tu mente da vueltas, te sientes inquieto. Alguien dijo una vez que las almas inquietas necesitan expresarse, de otro modo se marchitan y mueren. ¿Quizá deberías coger pluma y pergamino y escribir algo?;;;;;;;;;x
EVTOPTA_CM_6128;I'll get the hang of this yet!;Je vais me mettre au travail sans tarder !;Ich krieg schon noch die Kurve!;;¡Ya le cogeré el tranquillo!;;;;;;;;;x
EVTDESC_CM_6130;Your daily meditations will keep you safe. You invoke the name of [Root.Religion.GetRandomGodName] ten times on the strike of each hour - first forwards, then backwards. Each time you do it, you feel closer to the unearthly and the unknowable. You can feel it stronger and stronger. Something is coming, something is changing...;Vos observations religieuses quotidiennes vous préservent du malheur. Vous invoquez [Root.Religion.GetRandomGodName] dix fois par jour, d'abord normalement puis à l'envers. Ce faisant, vous vous sentez plus proche du divin et ce sentiment n'a de cesse de croître. Un changement est sur le point de se produire, c'est une certitude.;Eure täglichen religiösen Betrachtungen geben Euch Sicherheit. Ihr sprecht beim Schlagen jeder vollen Stunde zehnmal den Namen von [Root.Religion.GetRandomGodName] - erst vorwärts, dann rückwärts. Und bei jedem Mal fühlt Ihr Euch dem Überirdischen näher, dem Göttlichen. Ihr fühlt es jedesmal stärker. Etwas kommt, etwas verändert sich... ;;Tus obligaciones diarias religiosas te mantienen a salvo. Dices el nombre de [Root.Religion.GetRandomGodName] diez veces en cada hora en punto – primero hacia delante, luego hacia atrás. Cada vez que lo haces, te sientes más cerca de lo sobrenatural y de lo divino. Puedes sentirlo más y más fuerte. Algo está viniendo, algo está cambiando...;;;;;;;;;x
EVTOPTA_CM_6130;Praise [Root.Religion.GetRandomEvilGodName]!;Gloire à [Root.Religion.GetRandomEvilGodName] !;Gepriesen sei [Root.Religion.GetRandomEvilGodName]!;;¡Alabar a [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_CM_6132;It's frustrating and boring to hide away from the world like this. You need a little something to put a warm glow on your days. Perhaps a drink would help... ah, that's good, this is working. Perhaps another one, just one...;Devoir rester à l'abri du monde est tellement frustrant et ennuyeux ! Vous devez trouver de quoi égayer votre quotidien. Peut-être qu'un petit verre ferait l'affaire… Ah, ça fait du bien ! Allez, un deuxième pour la route…;Sich so vor der Welt zu verstecken ist langweilig und frustrierend. Ihr braucht etwas, dass ein warmes Gefühl in Euch Leben bringt. Ein Glas zu trinken wäre wohl nicht schlecht... Aah, das tut gut, das wirkt. Vielleicht noch eins, nur noch eins...;;Es frustrante y aburrido estar escondido del mundo de esta forma. Necesitas poner un leve y cálido resplandor en tus días. Quizás la bebida ayude... ah, así está mejor, esto funciona. Quizás otra más, sólo una...;;;;;;;;;x
EVTOPTA_CM_6132;What's the harm?;Quel mal à cela ?;Was ist daran schlecht?;;¿Qué hay de malo?;;;;;;;;;x
form_new_kingdom;Found a new Kingdom;Former un nouveau royaume;Bildet ein neues Königreich;;Formar un nuevo reino;;;;;;;;;x
form_new_kingdom_desc;A powerful [Root.PrimaryTitle.GetRulerTitle] such as me surely deserves to be recognized as something more. Perhaps the time has come to claim my place on Arda...;Notre influence croît au fur et à mesure que le royaume s'étend. L'époque où nous formions un petit duché est révolue, faites place au nouveau royaume !;Mit unserem Reich ist auch unser Einfluss gewachsen. Wir sind jetzt kein bloßes Herzogtum mehr, wir können uns zum Königreich erklären!;;A medida que nuestros dominios han crecido, también lo ha hecho nuestra influencia. Ya no podemos ser considerados sólo un ducado, ¡ahora nos podemos proclamar reino!;;;;;;;;x
form_new_kingdom_tooltip;A new Kingdom is founded!;Un nouveau royaume a vu le jour;Ein neues Königreich hat sich gebildet.;;Un nuevo Reino se ha formado;;;;;;;;;x
#form_new_kingdom_requirement_tooltip;Hold 3 duchy title;Avoir 3 titres de duché;Haltet 3 Herzogstitel;;Sustenta 3 títulos de ducados;;;;;;;;;x
form_new_empire;Found a new High Kingdom;Former un nouvel empire;Bildet ein neues Kaiserreich;;Forma un nuevo Imperio;;;;;;;;;x
form_new_empire_desc;A powerful [Root.PrimaryTitle.GetRulerTitle] such as me surely deserves to be recognized as something more. Perhaps the time has come to claim my place on Arda...;Notre influence croît au fur et à mesure que le royaume s'étend. L'époque où nous formions un royaume est révolue, faites place au nouvel empire !;Mit unserem Reich ist auch unser Einfluss gewachsen. Wir sind jetzt kein bloßes Königreich mehr, wir können uns zum Kaiserreich erklären!;;A medida que nuestros dominios han crecido, también lo ha hecho nuestra influencia. Ya no podemos ser considerados sólo un ducado, ¡ahora nos podemos proclamar imperio!;;;;;;;;;x
form_new_empire_tooltip;A new High Kingdom is founded!;Un nouvel empire a vu le jour;Ein neues Kaiserreich hat sich gebildet;;Un nuevo Imperio se ha formado;;;;;;;;;x
#form_new_empire_requirement_tooltip;Hold 3 kingdom titles;Avoir 3 titres de royaume;Haltet 3 Königstitel;;Sustenta 3 títulos de reino;;;;;;;;;x
EVTDESC_CM_6180;My [Root.GetLordLady], we have received news that [Root.PlotTarget.GetTitledName] has gone into hiding! This will severely compromise our efforts to assassinate [Root.PlotTarget.GetHerHim].;Notre [Root.GetLordLady], nous avons appris que [Root.PlotTarget.GetTitledName] se cache ! Cela va considérablement compliquer notre plan visant à l'assassiner.;Mein [Root.GetLordLady], wir haben Nachricht erhalten, dass [Root.PlotTarget.GetTitledName] sich versteckt hält! Dies ist ein schwerer Schlag gegen unsere Pläne, [Root.PlotTarget.GetHerHim] zu ermorden.;;Mi [Root.GetLordLady], hemos recibido noticias acerca de [Root.PlotTarget.GetTitledName]. ¡Se ha ido a la clandestinidad! Esto compromete severamente nuestros esfuerzos para asesinar [Root.PlotTarget.GetHerHim].;;;;;;;;;x
EVTOPTA_CM_6180;We'll still get [Root.PlotTarget.GetHerHim] one way or another!;Nous finirons par l'avoir, d'une manière ou d'une autre !;Aber wir kriegen [Root.PlotTarget.GetHerHim] so oder so!;;¡[Root.PlotTarget.GetHerHim] pillaremos de una forma u otra!;;;;;;;;;x
cancel_murder_attempt;You must find another way to strike at your target.;Vous devez trouver un autre moyen d'assassiner votre cible.;Ihr müsst einen anderen Weg finden, um Eue Zielperson zu ermorden.;;Deberás encontrar otra forma de asesinar a tu objetivo.;;;;;;;;;x
recently_went_out_of_hiding_tooltip;Did not recently come out of hiding\n;Ne s'est pas montré récemment\n;Ist kürzlich nicht aus dem Versteck gekommen\n;;No salió recientemente de la clandestinidad\n;;;;;;;;;x
SCORE_SCREEN;Score Screen;Écran des scores;Punkte-Bildschirm;;Marcador;;;;;;;;;x
EVTDESC_CM_6200;The world is a dangerous place, and devious plots are everywhere. Rumors have reached you that people are conspiring to kill you.;Le monde est un endroit dangereux où les conspirations sont légion. Vous avez entendu dire que certaines personnes complotent de vous tuer.;Die Welt ist gefährlich und überall lauern Schurken. Es kommt Euch zu Ohren, dass man Euch nach dem Leben trachtet.;;El mundo es un lugar peligroso y por todas partes hay ladinas conspiraciones. Te han llegado rumores de que hay gente conspirando para asesinarte.;;;;;;;;;x
EVTOPTA_CM_6200;I must be careful.;Je dois faire montre de la plus grande prudence.;Ich muss mich in Acht nehmen;;Tengo que ser cauteloso.;;;;;;;;;x
EVTDESC_CM_6210;The world is a dangerous place, and devious plots are everywhere. Rumors have reached you that people are conspiring to kill your [GetFromRelation], [From.GetFirstName].;Le monde est un endroit dangereux où les conspirations sont légion. Vous avez entendu dire que certaines personnes complotent de tuer votre [GetFromRelation], [From.GetFirstName].;Die Welt ist gefährlich, und überall lauern Schurken. Es kommt Euch zu Ohren, dass man Eure(n) [GetFromRelation], [From.GetFirstName] ermorden will.;;El mundo es un lugar peligroso y por todas partes hay ladinas conspiraciones. Te han llegado rumores que hay gente conspirando para asesinar a tu [GetFromRelation], [From.GetFirstName].;;;;;;;;;x
EVTOPTA_CM_6210;This is worrying...;C'est inquiétant…;Das ist beunruhigend...;;Es preocupante...;;;;;;;;;x
EVTOPTB_CM_6210;Actually, I don't blame them.;En fait, je les comprends.;Eigentlich kann ich es ihnen nicht übelnehmen.;;En realidad no los culpo.;;;;;;;;;x
EVTDESC_CM_6300;My [Root.GetLordLady], an opportunity has arisen in your plan to rid yourself of [Root.PlotTarget.GetTitledName]. We have been contacted by a secret guild of highly trained professional killers. They are master infiltrators, dressing all in black, and they are offering to 'solve your problems'. How shall we proceed, my [Root.GetLordLady]?;Notre [Root.GetLordLady], sachez que l'opportunité de vous débarrasser de [Root.PlotTarget.GetTitledName] est sur le point de se présenter. Nous avons été contactés par une guilde secrète d'assassins professionnels hautement entraînés. Ce sont des experts de l'infiltration, tout de noir vêtus, et proposant de 'résoudre notre problème'. Qu'en pensez-vous, notre [Root.GetLordLady] ?;Mein(e) [Root.GetLordLady], es hat sich für Euren Plan, [Root.PlotTarget.GetTitledName] loszuwerden, eine Möglichkeit ergeben. Eine geheime Gilde hochprofessioneller Mörder hat uns angesprochen. Sie kleiden sich ganz in Schwarz, schleichen sich lautlos überall ein und bieten an, 'Eure Probleme zu lösen'. Wie sollen wir verfahren?;;Mi [Root.GetLordLady], ha surgido una oportunidad en vuestras intenciones de libraros de Root.PlotTarget.GetTitledName]. Hemos contactado con un gremio de asesinos profesionales altamente preparados. Son maestros en la infiltración, visten completamente de negro y ofrecen “solucionar vuestros problemas”. ¿Como debemos proceder, mi [Root.GetLordLady]?;;;;;;;;;x
EVTOPTA_CM_6300;We will hire one of these dark killers.;Nous allons engager l'un de ces mystérieux tueurs.;Wir engagieren einen dieser schwarzen Killer.;;Contrataremos a uno de esos oscuros asesinos.;;;;;;;;;x
EVTOPTB_CM_6300;We will hire three of them.;Engagez trois de ces tueurs.;Wir engagieren drei von ihnen.;;Contrataremos a tres de ellos.;;;;;;;;;x
EVTOPTC_CM_6300;We should wait.;Attendons encore un peu.;Wir sollten warten.;;Deberíamos esperar;;;;;;;;;x
EVTDESC_CM_6301;It seems as though [From.GetTitledName] has found an opportunity to send a secret guild of elite murderers to infiltrate the hiding place of the cowardly [From.PlotTarget.GetTitledName] and kill [From.PlotTarget.GetHerHim].;Il semble que [From.GetTitledName] a trouvé le moyen d'envoyer une guilde secrète de tueurs d'élite afin de dévoiler la cachette de ce lâche de [From.PlotTarget.GetTitledName] et mettre fin à ses jours.;Es scheint, dass [From.GetTitledName] eine Möglichkeit gefunden hat, eine geheime Gilde von Elitemördern anzuheuern, die in das Versteck des feigen [From.PlotTarget.GetTitledName] eindringen sollen, um [From.PlotTarget.GetHerHim] zu töten.;;Parece que [From.GetTitledName] ha encontrado una manera de enviar un secreto gremio de asesinos de élite para infiltrarse en el lugar donde se oculta el/la cobarde de [From.PlotTarget.GetTitledName] y matar[From.PlotTarget.GetHerHim].;;;;;;;;;x
EVTOPTA_CM_6301;Excellent!;Excellent !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTTITLE_CM_6303;A blade in the night;Une lame dans la nuit;Ein Messer in der Nacht;;¡Una hoja de acero en la oscuridad!;;;;;;;;;x
