4785.2.1#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_drun_2;Echad Feredir;Drûn;Drûn;;Drûn;;;;;;;;;x
b_drun_2_adj;Echad Feredir;;drûner;;;;;;;;;;;x
b_drun_3;Tarn Morimbar;Drûn;Drûn;;Drûn;;;;;;;;;x
b_drun_3_adj;Tarn Morimbar;;drûner;;;;;;;;;;;x
b_drun_4;Caras Drûn;Drûn;Drûn;;Drûn;;;;;;;;;x
b_drun_4_adj;Caras Drûn;;drûner;;;;;;;;;;;x
b_dry_river;Dry River;Dry River;Dry River;;Dry River;;;;;;;;;x
b_dry_river_adj;Dry River;;Dry Riverer;;;;;;;;;;;x
b_dry_river_2;Parduin;Dry River;Dry River;;Dry River;;;;;;;;;x
b_dry_river_2_adj;Parduin;;Dry Riverer;;;;;;;;;;;x
b_dry_river_3;Naniaur;Dry River;Dry River;;Dry River;;;;;;;;;x
b_dry_river_3_adj;Naniaur;;Dry Riverer;;;;;;;;;;;x
b_dry_river_4;Echad Elu;Dry River;Dry River;;Dry River;;;;;;;;;x
b_dry_river_4_adj;Echad Elu;;Dry Riverer;;;;;;;;;;;x
b_duilwen;Duilwen;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
b_duilwen_adj;Duilwenrim;;duilwener;;;;;;;;;;;x
b_duilwen_2;Duilwen;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
b_duilwen_2_adj;Duilwenrim;;duilwener;;;;;;;;;;;x
b_duilwen_3;Gwendor;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
b_duilwen_3_adj;Gwendorim;;duilwener;;;;;;;;;;;x
b_duilwen_4;Echad Lasdolgon;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
b_duilwen_4_adj;Echad Lasdolgon;;duilwener;;;;;;;;;;;x
b_duilwen_5;Taldost;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
b_duilwen_5_adj;Taldost;;duilwener;;;;;;;;;;;x
b_dunestolad;Dûnestolad;Dûnestolad;Dûnestolad;;Dûnestolad;;;;;;;;;x
b_dunestolad_adj;Dûnestoladrim;;dûnestolader;;;;;;;;;;;x
b_dunestolad_2;Rhosgaredhelrond;Dûnestolad;Dûnestolad;;Dûnestolad;;;;;;;;;x
b_dunestolad_2_adj;Rhosgaredhelrond;;dûnestolader;;;;;;;;;;;x
b_dunestolad_3;Pentaur;Dûnestolad;Dûnestolad;;Dûnestolad;;;;;;;;;x
b_dunestolad_3_adj;Pentaur;;dûnestolader;;;;;;;;;;;x
b_dunestolad_4;Echad Crebain;Dûnestolad;Dûnestolad;;Dûnestolad;;;;;;;;;x
b_dunestolad_4_adj;Echad Crebain;;dûnestolader;;;;;;;;;;;x
b_duven_taur;Duven-Taur;Duven-Taur;Duven-Taur;;Duven-Taur;;;;;;;;;x
b_duven_taur_adj;Duven-Taur;;duven-taurer;;;;;;;;;;;x
b_duven_taur_2;Penedhel;Duven-Taur;Duven-Taur;;Duven-Taur;;;;;;;;;x
b_duven_taur_2_adj;Penedhel;;duven-taurer;;;;;;;;;;;x
b_duven_taur_3;Ostengarn;Duven-Taur;Duven-Taur;;Duven-Taur;;;;;;;;;x
b_duven_taur_3_adj;Ostengarn;;duven-taurer;;;;;;;;;;;x
b_duven_taur_4;Echad Calentaur;Duven-Taur;Duven-Taur;;Duven-Taur;;;;;;;;;x
b_duven_taur_4_adj;Echad Calentaur;;duven-taurer;;;;;;;;;;;x
b_duven_taur_5;Duvenduin;Duven-Taur;Duven-Taur;;Duven-Taur;;;;;;;;;x
b_duven_taur_5_adj;Duvenduin;;duven-taurer;;;;;;;;;;;x
b_east_march;East March;East March;East March;;East March;;;;;;;;;x
b_east_march_adj;East Marchrim;;East Marcher;;;;;;;;;;;x
b_east_march_2;East March;East March;East March;;East March;;;;;;;;;x
b_east_march_2_adj;East Marchrim;;East Marcher;;;;;;;;;;;x
b_east_march_3;Gar Pendalch;East March;East March;;East March;;;;;;;;;x
b_east_march_3_adj;Gar Pendalch;;East Marcher;;;;;;;;;;;x
b_east_march_4;Echad Avarin;East March;East March;;East March;;;;;;;;;x
b_east_march_4_adj;Echad Avarin;;East Marcher;;;;;;;;;;;x
b_echad_feanor;Echad Fëanor;Echad Fëanor;Echad Fëanor;;Echad Fëanor;;;;;;;;;x
b_echad_feanor_adj;Echad Fëanor;;Echad Fëanorer;;;;;;;;;;;x
b_echad_feanor_2;Forfalost;Echad Fëanor;Echad Fëanor;;Echad Fëanor;;;;;;;;;x
b_echad_feanor_2_adj;Forfalost;;Echad Fëanorer;;;;;;;;;;;x
b_echad_feanor_3;Côf Himlith;Echad Fëanor;Echad Fëanor;;Echad Fëanor;;;;;;;;;x
b_echad_feanor_3_adj;Côf Himlith;;Echad Fëanorer;;;;;;;;;;;x
b_echad_feanor_4;Rond Gwilwileth;Echad Fëanor;Echad Fëanor;;Echad Fëanor;;;;;;;;;x
b_echad_feanor_4_adj;Rond Gwilwileth;;Echad Fëanorer;;;;;;;;;;;x
b_echoriath;Echoriath;Echoriath;Echoriath;;Echoriath;;;;;;;;;x
b_echoriath_adj;Echoriathrim;;echoriather;;;;;;;;;;;x
b_echoriath_2;Már Eanosse;Echoriath;Echoriath;;Echoriath;;;;;;;;;x
b_echoriath_2_adj;Eanossil;;echoriather;;;;;;;;;;;x
b_edenathrad;Edenathrad;Edenathrad;Edenathrad;;Edenathrad;;;;;;;;;x
b_edenathrad_adj;Edenathradrim;;edenathrader;;;;;;;;;;;x
b_edenathrad_2;Vinyathrad Harn;Edenathrad;Edenathrad;;Edenathrad;;;;;;;;;x
b_edenathrad_2_adj;Vinyathrad Harn;;edenathrader;;;;;;;;;;;x
b_edenathrad_3;Vinyalas;Edenathrad;Edenathrad;;Edenathrad;;;;;;;;;x
b_edenathrad_3_adj;Vinyalathrim;;edenathrader;;;;;;;;;;;x
b_edenathrad_4;Rond Amboron;Edenathrad;Edenathrad;;Edenathrad;;;;;;;;;x
b_edenathrad_4_adj;Amborondil;;edenathrader;;;;;;;;;;;x
b_edrain_duath;Edrain-Duath;Edrain-Duath;Edrain-Duath;;Edrain-Duath;;;;;;;;;x
b_edrain_duath_adj;Edrain-Duathrim;;edrain-duather;;;;;;;;;;;x
b_edrain_duath_2;Echad Forodain;Edrain-Duath;Edrain-Duath;;Edrain-Duath;;;;;;;;;x
b_edrain_duath_2_adj;Forodain;;edrain-duather;;;;;;;;;;;x
b_eglamar;Eglamar;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_adj;Eglamar;;eglamarer;;;;;;;;;;;x
b_eglamar_2;Nathaledhelost;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_2_adj;Nathaledhelothrim;;eglamarer;;;;;;;;;;;x
b_eglamar_3;Tarannon;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_3_adj;Tarannon;;eglamarer;;;;;;;;;;;x
b_eglamar_4;Andor;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_4_adj;Andorim;;eglamarer;;;;;;;;;;;x
b_eglamar_5;Taur Andol;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_5_adj;Andolrim;;eglamarer;;;;;;;;;;;x
b_eglamar_6;Tarannon;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_6_adj;Tarannon;;eglamarer;;;;;;;;;;;x
b_eglamar_7;Anna Aianodilo;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
b_eglamar_7_adj;Anna Aianodilo;;eglamarer;;;;;;;;;;;x
b_eglandor;Eglandor;Eglandor;Eglandor;;Eglandor;;;;;;;;;x
b_eglandor_adj;Eglandor;;eglandorer;;;;;;;;;;;x
b_eglandor_2;Emyn Him;Eglandor;Eglandor;;Eglandor;;;;;;;;;x
b_eglandor_2_adj;Himrim;;eglandorer;;;;;;;;;;;x
b_eglandor_3;Faindor;Eglandor;Eglandor;;Eglandor;;;;;;;;;x
b_eglandor_3_adj;Faindorim;;eglandorer;;;;;;;;;;;x
b_eglandor_4;Lost Aredhel;Eglandor;Eglandor;;Eglandor;;;;;;;;;x
b_eglandor_4_adj;Lost Aredhelrim;;eglandorer;;;;;;;;;;;x
b_eglarest;Eglarest;Eglarest;Eglarest;;Eglarest;;;;;;;;;x
b_eglarest_adj;Eglarethrim;;eglarester;;;;;;;;;;;x
b_eglarest_2;Luinen;Eglarest;Eglarest;;Eglarest;;;;;;;;;x
b_eglarest_2_adj;Luinenrim;;eglarester;;;;;;;;;;;x
b_eglarest_3;Barad Círdan;Eglarest;Eglarest;;Eglarest;;;;;;;;;x
b_eglarest_3_adj;Barad Círdan;;eglarester;;;;;;;;;;;x
b_eglarest_4;Lond Eglarest;Eglarest;Eglarest;;Eglarest;;;;;;;;;x
b_eglarest_4_adj;Lond Eglarest;;eglarester;;;;;;;;;;;x
b_eglarest_5;Gorthad-en-Falathrim;Eglarest;Eglarest;;Eglarest;;;;;;;;;x
b_eglarest_5_adj;Gorthad-en-Falathrim;;eglarester;;;;;;;;;;;x
b_eithel_brithon;Eithel Brithon;Eithel Brithon;Eithel Brithon;;Eithel Brithon;;;;;;;;;x
b_eithel_brithon_adj;Eithel Brithonrim;;Eithel Brithoner;;;;;;;;;;;x
b_eithel_brithon_2;Lanthir Brithon;Eithel Brithon;Eithel Brithon;;Eithel Brithon;;;;;;;;;x
b_eithel_brithon_2_adj; Brithon;;Eithel Brithoner;;;;;;;;;;;x
b_eithel_brithon_3;Amon Brithombar;Eithel Brithon;Eithel Brithon;;Eithel Brithon;;;;;;;;;x
b_eithel_brithon_3_adj;Amon Brithombar;;Eithel Brithoner;;;;;;;;;;;x
b_eithel_brithon_4;Dol Arost;Eithel Brithon;Eithel Brithon;;Eithel Brithon;;;;;;;;;x
b_eithel_brithon_4_adj;Dol Arost;;Eithel Brithoner;;;;;;;;;;;x
b_eithel_celebros;Eithel Celebros;Eithel Celebros;Eithel Celebros;;Eithel Celebros;;;;;;;;;x
b_eithel_celebros_adj;Eithel Celebrothrim;;Eithel Celebroser;;;;;;;;;;;x
b_eithel_celebros_2;Doron Iaur;Eithel Celebros;Eithel Celebros;;Eithel Celebros;;;;;;;;;x
b_eithel_celebros_2_adj;Doron Iaur;;Eithel Celebroser;;;;;;;;;;;x
b_eithel_celebros_3;Tûr Adana;Eithel Celebros;Eithel Celebros;;Eithel Celebros;;;;;;;;;x
b_eithel_celebros_3_adj;Tûr Adana;;Eithel Celebroser;;;;;;;;;;;x
b_eithel_gelion;Eithel Gelion;Eithel Gelion;Eithel Gelion;;Eithel Gelion;;;;;;;;;x
b_eithel_gelion_adj;Eithel Gelion;;Eithel Gelioner;;;;;;;;;;;x
b_eithel_gelion_2;Bar-en-Lanthir;Eithel Gelion;Eithel Gelion;;Eithel Gelion;;;;;;;;;x
b_eithel_gelion_2_adj;Bar-en-Lanthir;;Eithel Gelioner;;;;;;;;;;;x
b_eithel_gelion_3;Nimbar;Eithel Gelion;Eithel Gelion;;Eithel Gelion;;;;;;;;;x
b_eithel_gelion_3_adj;Nimbarim;;Eithel Gelioner;;;;;;;;;;;x
b_eithel_harmen;Eithel Harmen;Eithel Harmen;Eithel Harmen;;Eithel Harmen;;;;;;;;;x
b_eithel_harmen_adj;Eithel Harmenrim;;Eithel Harmener;;;;;;;;;;;x
b_eithel_nenning;Eithel Nenning;Eithel Nenning;Eithel Nenning;;Eithel Nenning;;;;;;;;;x
b_eithel_nenning_adj;Eithel Nenning;;Eithel Nenninger;;;;;;;;;;;x
b_eithel_nenning_2;Nenring;Eithel Nenning;Eithel Nenning;;Eithel Nenning;;;;;;;;;x
b_eithel_nenning_2_adj;Nenringrim;;Eithel Nenninger;;;;;;;;;;;x
b_eithel_nenning_3;Ost-en-Eithelrim;Eithel Nenning;Eithel Nenning;;Eithel Nenning;;;;;;;;;x
b_eithel_nenning_3_adj;Ost-en-Eithelrim;;Eithel Nenninger;;;;;;;;;;;x
b_eithel_nenning_4;Dorombar;Eithel Nenning;Eithel Nenning;;Eithel Nenning;;;;;;;;;x
b_eithel_nenning_4_adj;Dorombarim;;Eithel Nenninger;;;;;;;;;;;x
b_eithel_rathloriel;Ascahiriand;Eithel Rathloriel;Eithel Rathloriel;;Eithel Rathloriel;;;;;;;;;x
b_eithel_rathloriel_adj;Ascahiriandrim;;Eithel Rathlorieler;;;;;;;;;;;x
b_eithel_rathloriel_2;Eithel Ascar;Eithel Rathloriel;Eithel Rathloriel;;Eithel Rathloriel;;;;;;;;;x
b_eithel_rathloriel_2_adj;Eithel Ascarim;;Eithel Rathlorieler;;;;;;;;;;;x
b_eithel_rathloriel_3;Amon Nordh;Eithel Rathloriel;Eithel Rathloriel;;Eithel Rathloriel;;;;;;;;;x
b_eithel_rathloriel_3_adj;Amon Nordh;;Eithel Rathlorieler;;;;;;;;;;;x
b_eithel_rathloriel_4;Rathloriel;Eithel Rathloriel;Eithel Rathloriel;;Eithel Rathloriel;;;;;;;;;x
b_eithel_rathloriel_4_adj;Rathlorim;;Eithel Rathlorieler;;;;;;;;;;;x
b_eithel_rivil;Eithel Rivil;Eithel Rivil;Eithel Rivil;;Eithel Rivil;;;;;;;;;x
b_eithel_rivil_adj;Eithel Rivilrim;;Eithel Riviler;;;;;;;;;;;x
b_eithel_rivil_2;Harn Rivilost;Eithel Rivil;Eithel Rivil;;Eithel Rivil;;;;;;;;;x
b_eithel_rivil_2_adj;Harn Rivilost;;Eithel Riviler;;;;;;;;;;;x
b_eithel_rivil_3;Duimbar;Eithel Rivil;Eithel Rivil;;Eithel Rivil;;;;;;;;;x
b_eithel_rivil_3_adj;Duimbarim;;Eithel Riviler;;;;;;;;;;;x
b_eithel_sirion;Eithel Sirion;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
b_eithel_sirion_adj;Eithel Sirion;;Eithel Sirioner;;;;;;;;;;;x
b_eithel_sirion_2;Barad Eithel;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
b_eithel_sirion_2_adj;Barad Eithel;;Eithel Sirioner;;;;;;;;;;;x
b_eithel_sirion_3;Wethrinil;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
b_eithel_sirion_3_adj;Wethrinil;;Eithel Sirioner;;;;;;;;;;;x
b_eithel_sirion_4;Caras Eithel;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
b_eithel_sirion_4_adj;Caras Sirion;;Eithel Sirioner;;;;;;;;;;;x
b_eithel_sirion_5;Thaim Fingolfin;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
b_eithel_sirion_5_adj;Thaim Fingolfin;;Eithel Sirioner;;;;;;;;;;;x
b_eithem_mithrum;Eithem Mithrum;Eithem Mithrum;Eithem Mithrum;;Eithem Mithrum;;;;;;;;;x
b_eithem_mithrum_adj;Eithem Mithrumrim;;Eithem Mithrumer;;;;;;;;;;;x
b_eithem_mithrum_2;Rond Faulabor;Eithem Mithrum;Eithem Mithrum;;Eithem Mithrum;;;;;;;;;x
b_eithem_mithrum_2_adj;Rond Faulabor;;Eithem Mithrumer;;;;;;;;;;;x
b_emyn_edrain;Emyn Edrain;Emyn Edrain;Emyn Edrain;;Emyn Edrain;;;;;;;;;x
b_emyn_edrain_adj;Emyn Edrainrim;;Emyn Edrainer;;;;;;;;;;;x
b_emyn_edrain_2;Helegost;Emyn Edrain;Emyn Edrain;;Emyn Edrain;;;;;;;;;x
b_emyn_edrain_2_adj;Helegost;;Emyn Edrainer;;;;;;;;;;;x
b_emyn_edrain_3;Taurombar;Emyn Edrain;Emyn Edrain;;Emyn Edrain;;;;;;;;;x
b_emyn_edrain_3_adj;Taurombarim;;Emyn Edrainer;;;;;;;;;;;x
b_emyn_eglain;Emyn Eglain;Emyn Eglain;Emyn Eglain;;Emyn Eglain;;;;;;;;;x
b_emyn_eglain_adj;Emyn Eglainrim;;Emyn Eglainer;;;;;;;;;;;x
b_emyn_eglain_2;Bar Baragairim;Emyn Eglain;Emyn Eglain;;Emyn Eglain;;;;;;;;;x
b_emyn_eglain_2_adj;Bar Baragairim;;Emyn Eglainer;;;;;;;;;;;x
b_emyn_eglain_3;Baradonost;Emyn Eglain;Emyn Eglain;;Emyn Eglain;;;;;;;;;x
b_emyn_eglain_3_adj;Baradonothrim;;Emyn Eglainer;;;;;;;;;;;x
b_emyn_eglain_4;Lond Aiwenriel;Emyn Eglain;Emyn Eglain;;Emyn Eglain;;;;;;;;;x
b_emyn_eglain_4_adj;Aiwenrielrim;;Emyn Eglainer;;;;;;;;;;;x
b_emyn_faroth;Emyn Faroth;Emyn Faroth;Emyn Faroth;;Emyn Faroth;;;;;;;;;x
b_emyn_faroth_adj;Emyn Farothrim;;Emyn Farother;;;;;;;;;;;x
b_emyn_faroth_2;Bar-en-Thanaron;Emyn Faroth;Emyn Faroth;;Emyn Faroth;;;;;;;;;x
b_emyn_faroth_2_adj;Bar-en-Thanaron;;Emyn Farother;;;;;;;;;;;x
b_emyn_faroth_3;Barad Taugwaith;Emyn Faroth;Emyn Faroth;;Emyn Faroth;;;;;;;;;x
b_emyn_faroth_3_adj;Taugwaith;;Emyn Farother;;;;;;;;;;;x
b_emyn_faroth_4;Gelmirond;Emyn Faroth;Emyn Faroth;;Emyn Faroth;;;;;;;;;x
b_emyn_faroth_4_adj;Gelmirondrim;;Emyn Farother;;;;;;;;;;;x
b_emyn_mithrum;Emyn Mithrum;Emyn Mithrum;Emyn Mithrum;;Emyn Mithrum;;;;;;;;;x
b_emyn_mithrum_adj;Emyn Mithrum;;Emyn Mithrumer;;;;;;;;;;;x
b_emyn_mithrum_2;Tham-en-Nostrim;Emyn Mithrum;Emyn Mithrum;;Emyn Mithrum;;;;;;;;;x
b_emyn_mithrum_2_adj;Nostrim;;Emyn Mithrumer;;;;;;;;;;;x
b_emyn_mithrum_3;Hithubar;Emyn Mithrum;Emyn Mithrum;;Emyn Mithrum;;;;;;;;;x
b_emyn_mithrum_3_adj;Hithubarim;;Emyn Mithrumer;;;;;;;;;;;x
b_emyn_mithrum_4;Thindolnan;Emyn Mithrum;Emyn Mithrum;;Emyn Mithrum;;;;;;;;;x
b_emyn_mithrum_4_adj;Thindolnanrim;;Emyn Mithrumer;;;;;;;;;;;x
b_emyn_nuath;Emyn Núath;Emyn Núath;Emyn Núath;;Emyn Núath;;;;;;;;;x
b_emyn_nuath_adj;Emyn Núathrim;;Emyn Núather;;;;;;;;;;;x
b_emyn_nuath_2;Rodnorthin;Emyn Núath;Emyn Núath;;Emyn Núath;;;;;;;;;x
b_emyn_nuath_2_adj;Rodnorthinrim;;Emyn Núather;;;;;;;;;;;x
b_emyn_nuath_3;Amon Saerlas;Emyn Núath;Emyn Núath;;Emyn Núath;;;;;;;;;x
b_emyn_nuath_3_adj;Amon Saerlas;;Emyn Núather;;;;;;;;;;;x
b_enaid_brilthor;Caras Denethora;;;;;;;;;;;;;x
b_enaid_brilthor_adj;Denethorim;;;;;;;;;;;;;x
b_enaid_brilthor_2;Caras Brithir;;;;;;;;;;;;;x
b_enaid_brilthor_2_adj;Brithirim;;;;;;;;;;;;;x
b_enaid_brilthor_3;Kota Ossiriand;;;;;;;;;;;;;x
b_enaid_brilthor_3_adj;Kota;;;;;;;;;;;;;x
b_enwinanuine;Enwinanuinë;Enwinanuinë;Enwinanuinë;;Enwinanuinë;;;;;;;;;x
b_enwinanuine_adj;Enwinanuinërim;;enwinanuinëer;;;;;;;;;;;x
b_enwinanuine_2;Danirothómard;Enwinanuinë;Enwinanuinë;;Enwinanuinë;;;;;;;;;x
b_enwinanuine_2_adj;Danirothómard;;enwinanuinëer;;;;;;;;;;;x
b_enwinanuine_3;Urunen;Enwinanuinë;Enwinanuinë;;Enwinanuinë;;;;;;;;;x
b_enwinanuine_3_adj;Urunen;;enwinanuinëer;;;;;;;;;;;x
b_enwinanuine_4;Galenaurost;Enwinanuinë;Enwinanuinë;;Enwinanuinë;;;;;;;;;x
b_enwinanuine_4_adj;Galenaurothrim;;enwinanuinëer;;;;;;;;;;;x
b_ereb;Ereb;Ereb;Ereb;;Ereb;;;;;;;;;x
b_ereb_adj;Erebrim;;ereber;;;;;;;;;;;x
b_ereb_2;Caras Doloth;Ereb;Ereb;;Ereb;;;;;;;;;x
b_ereb_2_adj;Dolothrim;;ereber;;;;;;;;;;;x
b_ereb_3;Ereb;Tolumbar;Ereb;;Ereb;;;;;;;;;x
b_ereb_3_adj;Tolumbarim;;ereber;;;;;;;;;;;x
b_ereb_4;Ost-en-Fëanorim;Ereb;Ereb;;Ereb;;;;;;;;;x
b_ereb_4_adj;Fëanorim;;ereber;;;;;;;;;;;x
b_ered_gorgoroth;Ered Gorgoroth;Ered Gorgoroth;Ered Gorgoroth;;Ered Gorgoroth;;;;;;;;;x
b_ered_gorgoroth_adj;Ered Gorgorothrim;;Ered Gorgorother;;;;;;;;;;;x
b_ered_gorgoroth_2;Ered Gûr;Ered Gorgoroth;Ered Gorgoroth;;Ered Gorgoroth;;;;;;;;;x
b_ered_gorgoroth_2_adj;Ered Gûrim;;Ered Gorgorother;;;;;;;;;;;x
b_ered_gorgoroth_3;Dol Morgon;Ered Gorgoroth;Ered Gorgoroth;;Ered Gorgoroth;;;;;;;;;x
b_ered_gorgoroth_3_adj;Dol Morgonrim;;Ered Gorgorother;;;;;;;;;;;x
b_ered_lomin;Ered Lómin;Ered Lómin;Ered Lómin;;Ered Lómin;;;;;;;;;x
b_ered_lomin_adj;Ered Lóminrim;;Ered Lóminer;;;;;;;;;;;x
b_ered_lomin_2;Himloth;Ered Lómin;Ered Lómin;;Ered Lómin;;;;;;;;;x
b_ered_lomin_2_adj;Himloth;;Ered Lóminer;;;;;;;;;;;x
b_ered_wethrin;Ered Wethrin;Ered Wethrin;Ered Wethrin;;Ered Wethrin;;;;;;;;;x
b_ered_wethrin_adj;Ered Wethrinrim;;Ered Wethriner;;;;;;;;;;;x
b_ered_wethrin_2;Amon Nâr;Ered Wethrin;Ered Wethrin;;Ered Wethrin;;;;;;;;;x
b_ered_wethrin_2_adj;Amon Nâr;;Ered Wethriner;;;;;;;;;;;x
b_eryn_en_haladin;Eryn-en-Haladin;Eryn-en-Haladin;Eryn-en-Haladin;;Eryn-en-Haladin;;;;;;;;;x
b_eryn_en_haladin_adj;Eryn-en-Haladinrim;;eryn-en-haladiner;;;;;;;;;;;x
b_eryn_en_haladin_2;Haldanrond;Eryn-en-Haladin;Eryn-en-Haladin;;Eryn-en-Haladin;;;;;;;;;x
b_eryn_en_haladin_2_adj;Haldanrondrim;;eryn-en-haladiner;;;;;;;;;;;x
b_eryn_en_haladin_3;Bar-en-Estel;Eryn-en-Haladin;Eryn-en-Haladin;;Eryn-en-Haladin;;;;;;;;;x
b_eryn_en_haladin_3_adj;Bar-en-Estelrim;;eryn-en-haladiner;;;;;;;;;;;x
b_eryn_en_haladin_4;Dol Gauram;Eryn-en-Haladin;Eryn-en-Haladin;;Eryn-en-Haladin;;;;;;;;;x
b_eryn_en_haladin_4_adj;Dol Gauram;;eryn-en-haladiner;;;;;;;;;;;x
b_eryn_en_haladin_5;Annon Taur;Eryn-en-Haladin;Eryn-en-Haladin;;Eryn-en-Haladin;;;;;;;;;x
b_eryn_en_haladin_5_adj;Annon Taur;;eryn-en-haladiner;;;;;;;;;;;x
b_estolad;Estoriand;Estolad;Estolad;;Estolad;;;;;;;;;x
b_estolad_adj;Estoriandrim;;estolader;;;;;;;;;;;x
b_estolad_2;Ened Estolad;Estolad;Estolad;;Estolad;;;;;;;;;x
b_estolad_2_adj;Enedrim;;estolader;;;;;;;;;;;x
b_estolad_3;Faigwae;Estolad;Estolad;;Estolad;;;;;;;;;x
b_estolad_3_adj;Faigwaith;;estolader;;;;;;;;;;;x
b_estolad_4;Cardh Uilos;Estolad;Estolad;;Estolad;;;;;;;;;x
b_estolad_4_adj;Cardh Uilos;;estolader;;;;;;;;;;;x
b_estolad_5;Caras Deludain;Estolad;Estolad;;Estolad;;;;;;;;;x
b_estolad_5_adj;Deludain;;estolader;;;;;;;;;;;x
b_falad_ar_taur;Falad-ar-Taur;Falad-ar-Taur;Falad-ar-Taur;;Falad-ar-Taur;;;;;;;;;x
b_falad_ar_taur_adj;Falad-ar-Taur;;falad-ar-taurer;;;;;;;;;;;x
b_falad_ar_taur_2;Rond Arveleg;Falad-ar-Taur;Falad-ar-Taur;;Falad-ar-Taur;;;;;;;;;x
b_falad_ar_taur_2_adj;Rond Arveleg;;falad-ar-taurer;;;;;;;;;;;x
b_falas;Barad Nimras;;;;;;;;;;;;;x
b_falas_adj;Nimrathrim;;;;;;;;;;;;;x
b_falas_2;Sinyalondë;;;;;;;;;;;;;x
b_falas_2_adj;Sinyalondin;;;;;;;;;;;;;x
b_falas_3;Fanya;;;;;;;;;;;;;x
b_falas_3_adj;Fanyin;;;;;;;;;;;;;x
b_falas_4;Caras Pipinektar;;;;;;;;;;;;x
b_falas_4_adj;Pipinektarin;;;;;;;;;;;;;x
b_falas_5;Falas;Caras Nimras;;;;;;;;;;;;x
b_falas_5_adj;Caras Nimrathrim;;;;;;;;;;;;;x
b_falasquil;Falasquil;Falasquil;Falasquil;;Falasquil;;;;;;;;;x
b_falasquil_adj;Falasquilrim;;falasquiler;;;;;;;;;;;x
b_falasquil_2;Helfalas;Falasquil;Falasquil;;Falasquil;;;;;;;;;x
b_falasquil_2_adj;Helfalathrim;;falasquiler;;;;;;;;;;;x
b_falasquil_3;Gar Ulmondili;Falasquil;Falasquil;;Falasquil;;;;;;;;;x
b_falasquil_3_adj;Gar Ulmondili;;falasquiler;;;;;;;;;;;x
b_falasquil_4;Car-en-Tuor;Falasquil;Falasquil;;Falasquil;;;;;;;;;x
b_falasquil_4_adj;Car-en-Tuor;;falasquiler;;;;;;;;;;;x
b_falin_malos;Falin Málos;Falin Málos;Falin Málos;;Falin Málos;;;;;;;;;x
b_falin_malos_adj;Falin Málosrim;;Falin Máloser;;;;;;;;;;;x
b_falin_malos_2;Echad Lostaur;Falin Málos;Falin Málos;;Falin Málos;;;;;;;;;x
b_falin_malos_2_adj;Lostaurim;;Falin Máloser;;;;;;;;;;;x
b_falin_malos_3;Rond Tîndu;Falin Málos;Falin Málos;;Falin Málos;;;;;;;;;x
b_falin_malos_3_adj;Rond Tîndu;;Falin Máloser;;;;;;;;;;;x
b_falin_malos_4;Mintadol;Falin Málos;Falin Málos;;Falin Málos;;;;;;;;;x
b_falin_malos_4_adj;Mintadolrim;;Falin Máloser;;;;;;;;;;;x
b_falls_of_esgalduin;Falls of Esgalduin;Falls of Esgalduin;Falls of Esgalduin;;Falls of Esgalduin;;;;;;;;;x
b_falls_of_esgalduin_adj;Falls of Esgalduin;;Falls of Esgalduiner;;;;;;;;;;;x
b_falls_of_esgalduin_2;Laichnen;Falls of Esgalduin;Falls of Esgalduin;;Falls of Esgalduin;;;;;;;;;x
b_falls_of_esgalduin_2_adj;Laichnenrim;;Falls of Esgalduiner;;;;;;;;;;;x
b_falls_of_esgalduin_3;Minas Mablung;Falls of Esgalduin;Falls of Esgalduin;;Falls of Esgalduin;;;;;;;;;x
b_falls_of_esgalduin_3_adj;Mablungrim;;Falls of Esgalduiner;;;;;;;;;;;x
b_fangros;Fangros;Fangros;Fangros;;Fangros;;;;;;;;;x
b_fangros_adj;Fangrothrim;;fangroser;;;;;;;;;;;x
b_fangros_2;Fangair;Fangros;Fangros;;Fangros;;;;;;;;;x
b_fangros_2_adj;Fangairim;;fangroser;;;;;;;;;;;x
b_fangros_3;Daunt-en-Beleg;Fangros;Fangros;;Fangros;;;;;;;;;x
b_fangros_3_adj;Daunt-en-Beleg;;fangroser;;;;;;;;;;;x
